dataset,n_episodes,n_frames,total_episodes_meta,total_frames_meta,fps,original_fps,downsample_stride,robot_type,codebase_version,n_video_keys,camera_key,height,width,codec,pix_fmt,len_min,len_p25,len_median,len_p75,len_max,len_mean,n_short_lt16,n_windows_lt16,n_tasks,task_sample,action_dim,action_names,state_dim,action_rows,action_nan,a_main_shoulder_pan_mean,a_main_shoulder_pan_std,a_main_shoulder_pan_min,a_main_shoulder_pan_max,a_main_shoulder_lift_mean,a_main_shoulder_lift_std,a_main_shoulder_lift_min,a_main_shoulder_lift_max,a_main_elbow_flex_mean,a_main_elbow_flex_std,a_main_elbow_flex_min,a_main_elbow_flex_max,a_main_wrist_flex_mean,a_main_wrist_flex_std,a_main_wrist_flex_min,a_main_wrist_flex_max,a_main_wrist_roll_mean,a_main_wrist_roll_std,a_main_wrist_roll_min,a_main_wrist_roll_max,a_main_gripper_mean,a_main_gripper_std,a_main_gripper_min,a_main_gripper_max,a_left_shoulder_pan_mean,a_left_shoulder_pan_std,a_left_shoulder_pan_min,a_left_shoulder_pan_max,a_left_shoulder_lift_mean,a_left_shoulder_lift_std,a_left_shoulder_lift_min,a_left_shoulder_lift_max,a_left_elbow_flex_mean,a_left_elbow_flex_std,a_left_elbow_flex_min,a_left_elbow_flex_max,a_left_wrist_flex_mean,a_left_wrist_flex_std,a_left_wrist_flex_min,a_left_wrist_flex_max,a_left_wrist_roll_mean,a_left_wrist_roll_std,a_left_wrist_roll_min,a_left_wrist_roll_max,a_left_gripper_mean,a_left_gripper_std,a_left_gripper_min,a_left_gripper_max
Chojins/chess_game_000_white_red,103,8120,103,8120,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,65.0,72.0,86.0,142,78.83,1,1,1,Move the red chess pieces as indicated by the highlighted squares,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,8120,0,-1.562,13.775,-39.9,46.76,124.624,40.545,36.21,181.76,125.207,18.009,46.41,170.16,67.274,20.52,19.42,101.34,-88.84,34.442,-203.38,-25.31,2.829,4.264,-0.19,18.34,,,,,,,,,,,,,,,,,,,,,,,,
Chojins/chess_game_001_blue_stereo,577,47001,577,47001,6,30,5,so100-blue,v2.1,1,observation.images.image,480,640,av1,yuv420p,44,65.0,74.0,92.0,169,81.46,0,0,1,Move the blue chess pieces as indicated by the highlighted squares,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,47001,0,1.389,14.244,-40.08,57.3,125.469,39.246,40.43,181.67,125.22,18.209,42.63,174.46,64.017,23.347,5.89,102.39,-106.73,38.187,-253.12,-12.57,3.271,4.933,-0.19,22.87,,,,,,,,,,,,,,,,,,,,,,,,
Chojins/chess_game_001_red_stereo,535,47079,535,47079,6,30,5,so100-red,v2.1,1,observation.images.image,480,640,av1,yuv420p,52,69.0,82.0,102.0,179,88.0,0,0,1,Move the red chess pieces as indicated by the highlighted squares,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,47079,0,2.857,14.479,-40.96,60.56,125.486,42.551,39.11,181.67,123.912,18.422,47.02,174.46,66.926,21.753,12.3,102.66,-102.906,32.94,-227.72,8.61,2.851,4.409,-0.19,55.1,,,,,,,,,,,,,,,,,,,,,,,,
Chojins/chess_game_009_white,342,28272,342,28272,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,67.0,76.5,98.0,152,82.67,3,3,1,Move the blue chess pieces as indicated by the highlighted squares,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,28272,0,1.056,14.969,-40.08,60.82,121.763,40.443,37.71,181.76,123.588,19.527,41.84,172.09,63.91,21.904,11.43,102.04,-91.291,31.495,-219.29,-15.21,3.958,5.472,-0.19,25.61,,,,,,,,,,,,,,,,,,,,,,,,
DorayakiLin/so100_pick_charger_on_tissue,50,5125,50,5125,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,86.25,97.5,110.5,180,102.5,1,1,1,Pick up the charger and put it on the white tissue.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5125,0,17.142,13.163,-12.57,68.55,128.867,51.721,8.79,181.67,115.167,41.303,-19.25,153.19,69.603,14.246,25.14,118.56,-21.812,27.833,-125.24,62.93,14.041,18.781,-0.1,63.21,,,,,,,,,,,,,,,,,,,,,,,,
FeiYjf/new_GtoR,378,25420,378,25420,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,54.0,62.0,73.0,154,67.25,1,1,1,new_GtoR,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,25420,0,5.164,21.948,-67.59,58.1,96.987,27.941,34.54,140.1,92.515,30.131,4.57,141.06,92.191,11.375,38.06,115.66,96.274,34.405,-1.76,205.31,1.445,1.317,-0.83,3.89,,,,,,,,,,,,,,,,,,,,,,,,
FsqZ/so100_1,40,3854,40,3854,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,69,81.0,93.5,104.25,134,96.35,0,0,1,put the yellow cube inside the purple box,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3854,0,-2.535,16.246,-43.95,29.97,115.329,56.224,23.82,190.37,99.152,59.42,-14.77,176.13,71.789,17.329,10.46,102.66,-14.292,16.058,-49.83,32.7,26.31,24.367,-0.09,82.89,,,,,,,,,,,,,,,,,,,,,,,,
Gano007/so100_medic,50,3599,50,3599,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,71,72.0,72.0,72.0,72,71.98,0,0,1,Grasp a medic box and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3599,0,-7.085,27.676,-74.0,70.14,110.32,52.131,28.56,191.34,86.177,51.055,-9.32,183.52,79.831,21.504,-9.49,105.91,-17.898,33.184,-150.47,50.71,6.424,11.29,-2.62,46.95,,,,,,,,,,,,,,,,,,,,,,,,
HITHY/so100_peach3,100,5363,100,5363,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,32,43.75,52.0,62.0,84,53.63,0,0,1,Grasp a peach and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5363,0,-6.524,15.226,-64.25,50.71,123.441,51.114,21.36,192.57,125.454,42.406,16.08,180.88,50.047,27.86,-40.17,104.5,53.349,39.929,-43.33,149.15,14.428,23.422,-0.54,96.15,,,,,,,,,,,,,,,,,,,,,,,,
HITHY/so100_peach4,400,19841,400,19841,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,1,40.0,50.0,59.0,125,49.6,7,7,1,Grasp a peach and put it on the plate.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,19841,0,-8.972,11.859,-57.92,45.18,117.239,58.133,-11.16,192.83,119.483,49.191,-12.13,180.88,38.139,35.776,-69.43,103.97,54.307,42.661,-95.1,134.3,19.491,27.485,-0.54,100.18,,,,,,,,,,,,,,,,,,,,,,,,
HITHY/so100_strawberry,153,8229,153,8229,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,1,50.0,54.0,59.0,132,53.78,1,1,1,Grasp a strawberry and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,8229,0,-8.703,8.347,-45.44,14.68,115.094,61.684,3.43,192.74,126.7,48.7,6.33,180.88,17.754,37.889,-71.46,76.29,53.58,45.516,-118.48,119.62,23.467,29.439,-0.36,92.39,,,,,,,,,,,,,,,,,,,,,,,,
Ityl/so100_recording2,45,2747,45,2747,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,55.0,62.0,67.0,91,61.04,1,1,1,Puttingg red block on blue one,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2747,0,1.608,16.618,-33.05,31.64,126.521,41.058,53.09,189.49,121.339,36.404,39.29,178.42,60.283,18.575,17.49,99.49,-1.487,15.885,-61.17,32.52,15.663,15.084,-0.09,54.84,,,,,,,,,,,,,,,,,,,,,,,,
Jiafei1224/so100_pa222per,30,2700,30,2700,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,90,90.0,90.0,90.0,90,90.0,0,0,1,pack stuff.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2700,0,1.348,8.491,-17.4,34.1,121.268,56.892,19.51,183.25,109.87,54.327,-18.9,170.86,73.125,11.885,43.77,106.61,-37.84,13.073,-68.55,-8.17,31.373,13.603,-2.06,71.43,,,,,,,,,,,,,,,,,,,,,,,,
Jiangeng/so100_413,50,3590,50,3590,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,52,67.25,72.5,77.0,100,71.8,0,0,1,Pick the cube,6,left_shoulder_pan|left_shoulder_lift|left_elbow_flex|left_wrist_flex|left_wrist_roll|left_gripper,6,3590,0,,,,,,,,,,,,,,,,,,,,,,,,,-1.609,16.862,-65.57,69.08,131.426,42.65,39.81,188.53,127.599,35.145,27.07,175.61,61.766,12.75,19.25,103.89,-3.544,18.71,-86.75,64.69,10.287,13.601,-0.1,57.56
LemonadeDai/so100_coca,50,3000,50,3000,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,60,60.0,60.0,60.0,60,60.0,0,0,1,Grasp a coca and flip,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3000,0,92.637,7.934,57.22,125.24,127.603,50.483,20.74,191.51,149.16,30.949,-9.84,182.99,3.395,53.161,-105.73,100.99,-39.053,31.648,-95.1,55.2,14.155,16.806,-0.51,56.54,,,,,,,,,,,,,,,,,,,,,,,,
Loki0929/so100_duck,300,26778,300,26778,6,30,5,so100,v2.0,1,observation.images.image,480,640,h264,yuv420p,70,82.0,88.0,94.0,123,89.26,0,0,1,"Grasp red, green, yellow ducks and put them in the box.",6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,26778,0,4.33,24.438,-47.37,50.27,113.842,51.078,28.48,189.76,106.996,51.642,-8.35,178.24,61.747,24.8,-43.51,99.67,-71.883,22.207,-116.28,-16.88,14.493,17.395,-0.09,65.37,,,,,,,,,,,,,,,,,,,,,,,,
Mohamedal/put_banana,30,4026,30,4026,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,110,125.25,133.0,142.0,173,134.2,0,0,1,put the banana in the red bowl.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,4026,0,0.646,19.668,-44.21,61.0,127.638,54.84,27.6,190.99,113.097,55.234,3.78,182.55,66.133,14.775,-23.73,104.06,-5.706,21.188,-107.05,56.25,6.879,13.956,-0.46,47.66,,,,,,,,,,,,,,,,,,,,,,,,
Mwuqiu/so100_0408_muti,66,5756,66,5756,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,56,78.0,87.5,95.75,119,87.21,0,0,1,Grasp a yellow duck and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5756,0,-8.902,16.656,-58.62,40.52,132.605,47.189,40.25,187.12,119.021,48.777,14.77,179.3,64.879,11.243,36.83,94.83,-16.089,9.119,-71.02,-1.76,7.764,10.247,-1.08,36.11,,,,,,,,,,,,,,,,,,,,,,,,
NONHUMAN-RESEARCH/SOARM100_TASK_VENDA,150,15300,150,15300,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,102,102.0,102.0,102.0,102,102.0,0,0,1,,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,15300,0,5.994,22.952,-65.39,64.6,145.347,46.263,20.39,196.44,136.571,40.064,-6.94,181.14,67.958,12.651,22.5,108.02,10.821,22.598,-40.87,122.52,9.522,15.582,-0.46,96.4,,,,,,,,,,,,,,,,,,,,,,,,
Odog16/so100_cube_drop_pick_v1,40,1947,40,1947,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,1,40.5,58.0,58.0,59,48.67,3,3,1,"Pick up orange cube, drop it, then retrieve it",6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1947,0,4.976,17.207,-78.31,71.72,135.216,35.656,28.48,189.67,126.3,30.878,14.06,178.59,68.343,13.465,24.52,103.45,-78.555,15.912,-135.18,-19.07,18.803,8.544,-0.4,37.95,,,,,,,,,,,,,,,,,,,,,,,,
Odog16/so100_cube_stacking_v1,50,7761,50,7761,6,30,5,so100,v2.1,1,observation.images.image,480,640,h264,yuv420p,115,138.0,150.0,165.25,217,155.22,0,0,1,stack cubes in order black blue orange,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,7761,0,-2.106,11.87,-49.22,47.29,120.729,46.953,28.56,191.07,117.464,42.995,13.45,178.51,71.183,13.811,-2.02,99.76,-88.133,12.413,-137.02,-29.09,11.24,8.611,0.0,34.77,,,,,,,,,,,,,,,,,,,,,,,,
RasmusP/so100_Orange2Green,50,5949,50,5949,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,118,119.0,119.0,119.0,119,118.98,0,0,1,Grasp the orange block and drop it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5949,0,3.6,26.215,-55.37,62.93,120.699,43.73,37.18,192.3,117.335,39.383,35.51,181.67,70.165,16.248,7.82,111.01,-0.969,14.377,-49.48,48.69,20.233,18.703,-1.13,69.44,,,,,,,,,,,,,,,,,,,,,,,,
VoicAndrei/so100_banana_to_plate_only,120,6262,120,6262,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,27,43.75,51.0,61.25,83,52.18,0,0,1,Pick up the banana and place it on the plate,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6262,0,13.35,20.139,-48.87,71.37,102.537,40.637,24.7,185.8,101.615,40.856,11.34,174.9,59.22,15.568,-16.7,105.64,19.41,43.871,-137.72,95.54,14.777,16.783,-0.38,98.2,,,,,,,,,,,,,,,,,,,,,,,,
ZGGZZG/so100_drop0,33,3183,33,3183,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,13,85.0,100.0,106.0,133,96.45,1,1,1,Grasp a ball and put it in the hole.,6,left_shoulder_pan|left_shoulder_lift|left_elbow_flex|left_wrist_flex|left_wrist_roll|left_gripper,6,3183,0,,,,,,,,,,,,,,,,,,,,,,,,,5.752,9.286,-18.54,35.95,134.157,49.752,30.23,185.19,138.823,39.53,-7.03,178.07,54.566,24.643,-43.33,104.5,3.534,8.184,-19.25,27.6,3.238,5.547,0.0,22.86
ad330/cubePlace,50,3000,50,3000,6,30,5,so100,v2.0,1,observation.images.image,480,640,av1,yuv420p,60,60.0,60.0,60.0,60,60.0,0,0,1,Grasp white cube and place it in the bowl.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,3000,0,15.129,21.328,-5.54,66.62,142.968,54.521,45.62,193.36,128.24,51.848,29.09,178.51,72.287,14.913,21.01,105.82,-4.731,16.606,-91.76,41.04,14.108,17.254,-0.09,69.22,,,,,,,,,,,,,,,,,,,,,,,,
aimihat/so100_tape,30,2700,30,2700,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,90,90.0,90.0,90.0,90,90.0,0,0,1,pick up the tape.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,2700,0,7.952,23.465,-21.09,65.57,144.569,42.826,53.61,189.23,121.586,44.91,20.74,179.3,70.431,13.655,33.22,102.04,-9.193,10.454,-46.93,20.92,7.014,13.113,-1.73,53.79,,,,,,,,,,,,,,,,,,,,,,,,
aractingi/push_cube_offline_data,30,1591,30,1591,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,17,35.25,43.0,56.75,172,53.03,0,0,1,Push the green cube to the yellow sticker,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,1591,0,-9.597,21.819,-78.66,40.43,99.701,19.645,62.4,131.84,112.487,24.79,67.24,145.99,58.59,14.061,36.04,82.09,77.897,0.421,77.34,78.22,0.546,0.023,0.54,0.6,,,,,,,,,,,,,,,,,,,,,,,,
bensprenger/chess_game_001_blue_stereo,307,22029,307,22029,6,30,5,so100-blue,v2.1,1,observation.images.image,480,640,av1,yuv420p,44,59.0,67.0,80.5,128,71.76,0,0,1,Move the blue chess pieces as indicated by the highlighted squares,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,22029,0,2.509,13.852,-40.08,57.3,128.076,38.886,40.43,181.67,126.235,17.825,51.15,174.46,64.87,23.442,5.89,101.34,-103.458,36.554,-243.28,-12.57,3.536,5.395,-0.19,22.87,,,,,,,,,,,,,,,,,,,,,,,,
bensprenger/left_arm_yellow_brick_in_box_v0,50,6000,50,6000,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Grasp the yellow lego block and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6000,0,7.291,16.957,-40.69,69.35,123.271,45.03,39.29,186.33,118.875,43.632,5.01,172.71,65.49,22.52,-16.61,105.03,-89.151,25.172,-187.12,-2.81,11.65,17.387,-0.1,74.32,,,,,,,,,,,,,,,,,,,,,,,,
bensprenger/left_arm_yellow_brick_in_box_with_purple_noise_v0,50,6000,50,6000,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,120,120.0,120.0,120.0,120,120.0,0,0,1,Grasp a yellow lego block and put it in the bin.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,6000,0,9.035,21.057,-46.85,77.34,129.888,44.916,37.71,186.33,125.403,41.315,15.56,172.71,58.775,29.217,-18.02,104.94,-85.856,28.677,-224.82,30.76,8.875,15.232,-0.2,53.61,,,,,,,,,,,,,,,,,,,,,,,,
bensprenger/right_arm_p_brick_in_box_with_y_noise_v0,47,5625,47,5625,6,30,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,115,120.0,120.0,120.0,120,119.68,0,0,1,Grasp the purple lego block and put it in the box.,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,5625,0,-9.49,22.606,-74.36,43.24,130.78,40.584,30.85,186.33,124.132,42.68,-20.48,172.71,59.01,24.177,-18.81,105.03,-86.649,23.529,-176.75,22.94,18.253,23.231,-0.2,71.19,,,,,,,,,,,,,,,,,,,,,,,,
dragon-95/so100_sorting,61,19094,61,19094,10,50,5,so100,v2.1,1,observation.images.image,480,640,av1,yuv420p,168,246.0,299.0,362.0,592,313.02,0,0,1,Put the object in box A into box B,6,main_shoulder_pan|main_shoulder_lift|main_elbow_flex|main_wrist_flex|main_wrist_roll|main_gripper,6,19094,0,34.831,39.251,-42.01,84.38,98.863,46.023,31.82,188.96,91.078,46.533,-0.97,178.33,56.222,20.075,-31.46,93.87,-44.349,43.768,-186.94,19.16,11.707,16.496,0.1,69.82,,,,,,,,,,,,,,,,,,,,,,,,
